epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.0622,1.18996,1.41441,1.22324,0.65882,0.59607,0.66786,0.50241,1.07275,1.02988,1.10794,8.33e-06,8.33e-06,8.33e-06
2,169.655,1.18411,1.27304,1.22388,0.691,0.60807,0.68193,0.5091,1.06256,1.00333,1.10113,1.19595e-05,1.19595e-05,1.19595e-05
3,253.273,1.24356,1.31849,1.26497,0.69319,0.61755,0.6865,0.5135,1.06034,0.99415,1.09976,9.3058e-06,9.3058e-06,9.3058e-06
