epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.0516,1.18328,1.52257,1.22368,0.68219,0.51358,0.60865,0.45271,1.0856,1.12909,1.12136,8.33e-06,8.33e-06,8.33e-06
2,107.971,1.21046,1.38239,1.24353,0.6436,0.55997,0.62374,0.46283,1.08311,1.10106,1.12067,1.19595e-05,1.19595e-05,1.19595e-05
3,157.362,1.25685,1.40098,1.26686,0.69767,0.52776,0.62523,0.46354,1.08074,1.09079,1.12048,9.3058e-06,9.3058e-06,9.3058e-06
