epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.5926,1.18328,1.52257,1.22368,0.68219,0.51358,0.60865,0.45271,1.0856,1.12909,1.12136,8.33e-06,8.33e-06,8.33e-06
2,160.614,1.21046,1.38239,1.24353,0.6436,0.55999,0.62384,0.46288,1.08311,1.10106,1.1207,1.19595e-05,1.19595e-05,1.19595e-05
3,239.637,1.25686,1.40099,1.26687,0.69765,0.52775,0.62522,0.46357,1.08074,1.09081,1.12047,9.3058e-06,9.3058e-06,9.3058e-06
