epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.4836,3.00094,4.88259,2.53351,0.02863,0.00039,8e-05,2e-05,3.45833,5.38436,3.08635,8.33e-06,8.33e-06,8.33e-06
2,100.927,2.90093,4.6269,2.51773,3e-05,0.00444,0.00013,2e-05,3.42013,5.20723,3.11544,1.19595e-05,1.19595e-05,1.19595e-05
3,149.377,2.96589,4.77159,2.5148,3e-05,0.00471,0.00013,3e-05,3.39698,5.19184,3.10484,9.3058e-06,9.3058e-06,9.3058e-06
